Taxon,mean,SD,minimum,maximum,non_zero_count
Acidaminococcaceae,0.0016791814752385634,0.0025674635656633017,0.0,0.0058135183638601765,2
Actinomycetaceae,1.0009141552145929e-05,2.038217203146332e-05,0.0,4.6423294372301274e-05,3
Acutalibacteraceae,1.1527333692612531e-05,1.9506081036925667e-05,0.0,4.502563388662724e-05,2
Akkermansiaceae,0.0007421562323472597,0.001017895602790537,0.0,0.002005942687314258,3
Alcaligenaceae,3.131440002079276e-07,7.002112712111344e-07,0.0,1.565720001039638e-06,1
Anaerotignaceae,0.0015983534310809594,0.002281492158749067,2.4266641183904153e-06,0.005209119489652875,5
Anaerovoracaceae,2.779527148827797e-05,5.3390007801582245e-05,0.0,0.0001224393040812997,2
Atopobiaceae,7.969664269922965e-07,1.7820711065398982e-06,0.0,3.984832134961483e-06,1
Bacteroidaceae,0.6647309808042776,0.12223324629484107,0.5274120587396136,0.8444420438135043,5
Barnesiellaceae,0.000529000705904399,0.0009749294612895403,3.0085482618959195e-05,0.0022681019935060194,5
Bifidobacteriaceae,0.00010942923898519712,0.00015719180940901417,0.0,0.0003839797298637575,4
Brevibacteriaceae,2.101839096072569e-07,4.6998550965849755e-07,0.0,1.0509195480362845e-06,1
Butyricicoccaceae,1.766753299634561e-05,1.0119693836444026e-05,3.012410629726033e-06,2.758663813595247e-05,5
Campylobacteraceae,3.7015867780003926e-06,4.818518133204778e-06,0.0,1.1507792283678923e-05,3
Carnobacteriaceae,1.7134778180334375e-06,3.831452879060781e-06,0.0,8.567389090167188e-06,1
Christensenellaceae,1.8566627409936642e-06,3.4642907190545946e-06,0.0,7.969664269922965e-06,2
Clostridiaceae,0.0027867129442831575,0.0034901452132085034,0.00011991067867770569,0.008155561218829384,5
Comamonadaceae,3.9848321349614824e-07,8.910355532699491e-07,0.0,1.9924160674807413e-06,1
Coprobacillaceae,1.755871761727601e-06,1.9468939253919016e-06,0.0,4.692497824412764e-06,3
Coriobacteriaceae,3.560030659728861e-06,6.7685532885571984e-06,0.0,1.5540845326349782e-05,2
Corynebacteriaceae,5.041820679708368e-06,3.970253250785715e-06,0.0,9.19554604531749e-06,4
Desulfitobacteriaceae,1.3136494350453557e-06,2.93740943536561e-06,0.0,6.5682471752267784e-06,1
Desulfovibrionaceae,0.0005860595339142736,0.0012768524680341193,0.0,0.0028698081899055524,3
Dethiosulfovibrionaceae,7.739637020136878e-07,1.0600917783538453e-06,0.0,1.9704741525680337e-06,2
Eggerthellaceae,8.381235122883657e-05,4.916939528985052e-05,3.068320743920341e-05,0.00015876284305929854,5
Enterobacteriaceae,0.0013128911803646614,0.0014351466236110478,4.518615944589049e-06,0.0030665832411698782,5
Enterococcaceae,3.768223094101985e-06,5.661752584561924e-06,0.0,1.3621764009044852e-05,3
Erwiniaceae,1.0020608006653683e-06,2.24067606787563e-06,0.0,5.0103040033268416e-06,1
Erysipelotrichaceae,0.00012276658533711665,8.315806639504938e-05,3.849191360205486e-06,0.0002151845430909282,5
Eubacteriaceae,0.00024453982529053616,0.0003325383483975372,0.0,0.0007804293736322064,4
Gemellaceae,1.5142362112853633e-06,3.3859351024258066e-06,0.0,7.571181056426817e-06,1
Lachnospraceae,0.024055720161340978,0.01858944641490543,0.004394273636828775,0.045462259636574985,5
Lactobacillaceae,6.184745707251101e-06,7.68649248976979e-06,0.0,1.8632068012371692e-05,3
Micrococcaceae,5.268401118987853e-06,6.183185873687313e-06,0.0,1.315204800873296e-05,4
Monoglobaceae,0.0002433345671148021,0.0001503670471427883,0.0,0.00038314160977654657,4
Moraxellaceae,2.3429860453424702e-07,5.239076067719168e-07,0.0,1.171493022671235e-06,1
Morganellaceae,1.1993705305755612e-06,1.8502659701834082e-06,0.0,4.203678192145138e-06,2
Muribaculaceae,6.698065286222946e-06,8.643315121103965e-06,0.0,2.0667504013723224e-05,3
Neisseriaceae,1.1034655254380989e-06,2.4674239257071126e-06,0.0,5.517327627190494e-06,1
Nocardioidaceae,6.262880004158552e-07,1.4004225424222688e-06,0.0,3.131440002079276e-06,1
Odoribacteraceae,6.0471362630779196e-05,7.224086845145283e-05,4.804223963089259e-06,0.00016477280878065732,5
Oscillospraceae,0.01446025460860991,0.009449270665116114,0.0029094029218040126,0.02840448118282569,5
Oxalobacteraceae,6.220962424975535e-05,9.081349538335018e-05,0.0,0.00020003857317506642,2
Pasteurellaceae,0.00012881157204400775,0.00023772770517061176,0.0,0.0005520728723665765,3
Peptoniphilaceae,4.991778725456168e-06,7.41222343725053e-06,0.0,1.77325030005786e-05,3
Peptostreptococcaceae,2.5789071467631275e-05,2.5638215600937867e-05,1.2551710957191805e-06,6.694517986735291e-05,5
Porphyromonadaceae,7.2135890608150706e-06,5.206179345409754e-06,1.9704741525680337e-06,1.548044351386989e-05,5
Prevotellaceae,0.0005438185621921868,0.00026321310146555405,0.0002703708603571366,0.0009639731245007937,5
Propionibacteriaceae,3.6369044233544647e-05,1.6974049873809733e-05,1.2289875254414383e-05,5.8993041498801475e-05,5
Pseudomonadaceae,3.5314409914752947e-06,6.086572504233014e-06,0.0,1.4056048954985306e-05,2
Rikenellaceae,0.037423535488359014,0.0342019255904599,0.0005163955929163293,0.07023306486190962,5
Staphylococcaceae,1.5653552218898028e-06,1.5551175010596858e-06,0.0,3.6011560023911676e-06,3
Streptococcaceae,0.00013854797065228534,0.00014866641090102847,1.0878149496232897e-06,0.0003341246482218588,5
Sutterellaceae,0.0005130055277036904,0.0011439282524066433,0.0,0.0025593259136993925,4
Synergistaceae,5.379663513088672e-06,9.764853731522809e-06,0.0,2.2514301562532376e-05,2
Tannerellaceae,0.01110320628701499,0.013608114513130563,0.0021074901538547137,0.03283142612980007,5
Turicibacteraceae,2.351050959627275e-06,5.2571097642927e-06,0.0,1.1755254798136374e-05,1
Veillonellaceae,0.003758448286031549,0.0034292390084563963,0.00012744960808462656,0.007628213844276332,5
Victivallaceae,3.536447509599065e-05,7.246546490630552e-05,0.0,0.0001648703161094739,3
